Date,Open,High,Low,Close,Adj Close,Volume
2000-11-13,30.219999,30.219999,30.219999,30.219999,20.082382,0
2000-11-14,31.010000,31.010000,31.010000,31.010000,20.607365,0
2000-11-15,31.200001,31.200001,31.200001,31.200001,20.733639,0
2000-11-16,30.700001,30.700001,30.700001,30.700001,20.401373,0
2000-11-17,30.559999,30.559999,30.559999,30.559999,20.308340,0
2000-11-20,29.840000,29.840000,29.840000,29.840000,19.829865,0
2000-11-21,29.850000,29.850000,29.850000,29.850000,19.836506,0
2000-11-22,29.240000,29.240000,29.240000,29.240000,19.431139,0
2000-11-24,29.830000,29.830000,29.830000,29.830000,19.823221,0
2000-11-27,29.930000,29.930000,29.930000,29.930000,19.889677,0
2000-11-28,29.459999,29.459999,29.459999,29.459999,19.577343,0
2000-11-29,29.510000,29.510000,29.510000,29.510000,19.610567,0
2000-11-30,28.930000,28.930000,28.930000,28.930000,19.225128,0
2000-12-01,29.080000,29.080000,29.080000,29.080000,19.324812,0
2000-12-04,29.190001,29.190001,29.190001,29.190001,19.397913,0
2000-12-05,30.480000,30.480000,30.480000,30.480000,20.255173,0
2000-12-06,29.950001,29.950001,29.950001,29.950001,19.902971,0
2000-12-07,29.790001,29.790001,29.790001,29.790001,19.796638,0
2000-12-08,30.590000,30.590000,30.590000,30.590000,20.328270,0
2000-12-11,30.959999,30.959999,30.959999,30.959999,20.574150,0
2000-12-12,30.650000,30.650000,30.650000,30.650000,20.368145,0
2000-12-13,30.320000,30.320000,30.320000,30.320000,20.148840,0
2000-12-14,29.799999,29.799999,29.799999,29.799999,19.803278,0
2000-12-15,29.230000,29.230000,29.230000,29.230000,19.424498,0
2000-12-18,29.440001,29.440001,29.440001,29.440001,19.564047,0
2000-12-19,28.980000,28.980000,28.980000,28.980000,19.258364,0
2000-12-20,27.799999,27.799999,27.799999,27.799999,18.589014,0
2000-12-21,27.950001,27.950001,27.950001,27.950001,18.689329,0
2000-12-22,28.790001,28.790001,28.790001,28.790001,19.251007,0
2000-12-26,28.969999,28.969999,28.969999,28.969999,19.371370,0
2000-12-27,29.360001,29.360001,29.360001,29.360001,19.632145,0
2000-12-28,29.629999,29.629999,29.629999,29.629999,19.812691,0
2000-12-29,29.260000,29.260000,29.260000,29.260000,19.565287,0
2001-01-02,28.280001,28.280001,28.280001,28.280001,18.909985,0
2001-01-03,29.760000,29.760000,29.760000,29.760000,19.899618,0
2001-01-04,29.389999,29.389999,29.389999,29.389999,19.652210,0
2001-01-05,28.540001,28.540001,28.540001,28.540001,19.083839,0
